name,followers,active_followers,growth_rate,avg_story_views,niche,secondary_niche,city,estimated_reach,avg_likes,avg_comments,roi_score,engagement_rate
Sara Singh,542369,263755,7.01,120626,Motivation,Finance,Hyderabad,214071,29521,1155,5.66,4.02
Riya Kapoor,1174669,728752,3.71,161615,Travel,Motivation,Hyderabad,370411,55003,1752,4.83,4.01
Arjun Kapoor,356965,277493,7.1,141499,Photography,Finance,Kolkata,98249,11255,240,3.22,3.9
Aditya Kaur,1254518,927911,3.41,434945,Health,Parenting,Chandigarh,498827,35538,1780,2.97,2.59
Kabir Verma,1659946,1311282,2.62,737862,Parenting,Education,Pune,543266,20167,486,1.24,3.05
Kabir Sharma,146700,81848,4.56,36003,DIY,Gaming,Hyderabad,55398,3213,175,2.31,2.91
Dev Kaur,1332525,960354,4.13,315936,Finance,Photography,Delhi,366171,60857,2909,4.79,4.46
Meera Verma,1650776,718590,1.1,331050,Food,Travel,Hyderabad,643990,77198,2599,4.83,2.95
Aarav Singh,887076,642138,3,192343,Fitness,Gaming,Hyderabad,314660,20167,1255,2.41,3.32
Riya Verma,1680825,1137557,5.52,378770,Finance,DIY,Bangalore,485155,90020,3002,5.53,4.02
Meera Singh,865618,517415,2.49,177125,Comedy,DIY,Chandigarh,302945,28800,1730,3.53,1.81
Ishaan Gupta,1527036,661141,2.79,182217,Photography,Travel,Delhi,486915,18198,752,1.24,3.22
Tanya Verma,1344889,883478,5.5,410464,Food,Finance,Chandigarh,344048,57125,2559,4.44,2.57
Ananya Sharma,881978,429373,4.53,227306,Finance,Comedy,Bangalore,326857,14304,881,1.72,1.85
Arjun Kaur,2473985,1617866,1.34,428048,Food,DIY,Delhi,847411,32687,768,1.35,3.12
Ananya Kapoor,127455,61719,5.71,13220,Education,Beauty,Jaipur,49014,5105,187,4.15,2.79
Dev Jain,1615082,1204388,4.5,397879,Comedy,Fashion,Pune,547802,62345,4696,4.15,4.16
Tanya Singh,516281,253005,6.02,142062,Motivation,Education,Hyderabad,182338,23000,805,4.61,3.61
Arjun Kapoor,2808806,1842633,6.06,641941,Beauty,Tech,Pune,751946,121253,5080,4.5,1.86
Aarav Jain,875571,468240,6.96,266419,Comedy,Photography,Jaipur,311383,50569,2808,6.1,2.95
Arjun Jain,222499,175719,3.19,88068,Fitness,Education,Mumbai,66176,3346,187,1.59,2.4
Sara Verma,1122377,725312,6.15,306905,Tech,Fitness,Hyderabad,327176,37230,2953,3.58,3.2
Vivaan Kaur,1549006,900692,6.46,314598,Beauty,Gaming,Delhi,534407,25990,823,1.73,2.46
Neha Gupta,2489511,1752150,2.05,593222,Comedy,Food,Kolkata,937075,50932,3447,2.18,4.26
Aditya Singh,2552889,1472898,4.81,380947,Fashion,Education,Hyderabad,864941,55934,2724,2.3,3.47
Simran Mehta,1199513,702232,2.41,340900,Fashion,Comedy,Hyderabad,347473,66836,2020,5.74,4.8
Kabir Singh,1253967,814214,7.89,213509,Fashion,Beauty,Kolkata,496047,23928,744,1.97,2.42
Vivaan Singh,1930231,1449901,2.72,839193,Finance,Gaming,Mumbai,760888,92807,6070,5.12,2.91
Kabir Mehta,1640164,986523,5.54,442704,Travel,DIY,Chandigarh,630668,79942,5326,5.2,3.42
Vivaan Sharma,1927587,956777,1.17,310030,Education,Finance,Chandigarh,660794,29584,1423,1.61,3.28
Ananya Kaur,306785,204655,6.75,49664,Gaming,Beauty,Hyderabad,93177,5424,300,1.87,4.53
Meera Jain,2572297,1939397,2.24,420466,Fitness,Photography,Delhi,946254,126595,6856,5.19,3.98
Riya Gupta,2948848,1233908,4.81,620492,Food,Fitness,Pune,929078,172168,5192,6.01,3.03
Dev Mehta,1074471,700532,6.32,315541,Parenting,Health,Bangalore,270356,37053,1810,3.62,2.54
Aanya Singh,303590,182909,7.26,38183,Health,Fashion,Pune,119346,3887,253,1.36,2.1
Neha Jain,2212427,1755324,5.64,988043,Fashion,Health,Chandigarh,661182,60252,3573,2.88,3.4
Ishaan Gupta,308374,242808,3.09,139404,Food,Gaming,Jaipur,95800,11604,695,3.99,2.13
Riya Gupta,372210,283055,7.11,114886,Photography,Gaming,Delhi,126241,15335,666,4.3,2.67
Rohan Gupta,330771,168069,1.78,42675,Fitness,Comedy,Kolkata,88108,7065,408,2.26,3.44
Aanya Mehta,1995196,1521324,0.64,363558,Fashion,Parenting,Pune,691191,79268,5724,4.26,3.02
Tanya Kapoor,2686024,2131548,4.21,1018130,Food,Motivation,Bangalore,709517,41689,1854,1.62,3.31
Sara Kaur,1429879,752905,7.07,313376,Motivation,DIY,Chandigarh,506663,78782,2213,5.66,7.45
Simran Kapoor,1361536,801210,2.86,243509,Fitness,Tech,Mumbai,358296,17689,836,1.36,3.15
Kiran Verma,2661024,1282018,2.12,692532,Travel,Comedy,Delhi,1039399,131937,5754,5.17,3.73
Ishaan Sharma,2386133,1671634,5.15,351680,DIY,Comedy,Mumbai,871860,57286,3238,2.54,3.34
Ananya Kaur,1454389,836568,5.98,390454,DIY,Comedy,Bangalore,457359,46346,3322,3.42,2.92
Ishaan Sharma,1164129,926535,3.91,539274,Education,Comedy,Chandigarh,456464,17630,1093,1.61,2.77
Nikhil Gupta,2969741,2338091,3.87,735003,Photography,DIY,Bangalore,981445,154592,12186,5.62,2.05
Simran Singh,1617579,1183180,2.83,429845,Food,Travel,Hyderabad,530304,35864,2186,2.35,4.1
Kabir Singh,2428611,1051173,3.54,588268,DIY,Education,Pune,757213,28794,619,1.21,2.05
Nikhil Kaur,2191751,1697078,0.97,842991,Fitness,Food,Bangalore,719704,95679,7278,4.7,2.87
Kiran Verma,1638091,992745,1.26,199560,Travel,Health,Kolkata,517788,52467,2803,3.37,4.16
Diya Singh,1020005,457571,2.07,232695,Education,Beauty,Kolkata,350214,24308,1064,2.49,3.34
Neha Singh,2634455,2011038,3.26,521412,Beauty,Fitness,Kolkata,1029038,121994,4213,4.79,3.93
Aarav Singh,1495206,1142915,1.71,421202,Gaming,Motivation,Delhi,597320,60168,2990,4.22,3.14
Meera Kaur,1497675,946943,3.28,399225,Motivation,Education,Bangalore,538143,28685,1638,2.02,3.42
Arjun Gupta,2083207,847301,7.23,318672,Fitness,Motivation,Delhi,619025,88591,3869,4.44,2.71
Riya Jain,1088324,516676,2.83,135010,Fashion,Fitness,Jaipur,361066,40563,2493,3.96,6.92
Tanya Sharma,2217939,1331488,2.4,603201,Motivation,Tech,Mumbai,657801,109732,2476,5.06,2.32
Tanya Singh,1836770,1457870,3.36,491941,Gaming,Food,Kolkata,647906,90609,5005,5.21,2.02
Ishaan Kaur,2864781,1706359,0.78,593562,Finance,Tech,Mumbai,1105993,113996,2744,4.08,4.03
Aanya Mehta,1186525,885445,5.23,426230,Photography,Parenting,Delhi,414803,44611,1842,3.92,3.55
Vivaan Kaur,317989,149869,1.9,35652,Fitness,Food,Delhi,114092,17552,1130,5.88,4.16
Dev Kapoor,1397996,763761,6.65,420396,Health,Beauty,Pune,467664,63028,3159,4.73,3.13
Meera Sharma,1910313,1095920,4.73,565350,Parenting,Gaming,Pune,617950,31195,1543,1.71,2.64
Kiran Gupta,1308426,529014,7.69,230280,Education,Finance,Hyderabad,329222,28726,1593,2.32,2.69
Ishaan Jain,1544367,780963,3.53,188933,Tech,Beauty,Hyderabad,613134,22869,676,1.52,4.77
Krishna Kapoor,489776,294833,2.55,138401,Travel,Health,Chandigarh,147254,27279,1294,5.83,2.2
Aanya Verma,790214,461781,2.28,154416,Education,Parenting,Bangalore,213859,30470,1735,4.08,3.58
Dev Gupta,1489310,1175796,3.2,560045,Tech,Parenting,Chandigarh,542985,39106,2960,2.82,3.6
Simran Mehta,1616730,736875,3.48,276168,Gaming,Food,Kolkata,591203,19208,963,1.25,3.75
Riya Singh,1489347,861194,4.92,258888,Fashion,DIY,Jaipur,577667,75258,5492,5.42,2.83
Nikhil Jain,2394048,976941,7.09,408263,Parenting,Photography,Bangalore,673473,29923,704,1.28,2.88
Krishna Sharma,2625432,1704717,0.59,627125,Fashion,Travel,Mumbai,936470,54821,1287,2.14,3.28
Meera Sharma,1612557,1284726,5.93,311765,DIY,Education,Kolkata,470805,71020,1557,4.5,2.97
Ananya Kaur,518966,273345,6.02,69326,Photography,Tech,Kolkata,138077,12969,633,2.62,4.85
Kiran Verma,1226412,579894,3.45,144216,Fashion,Tech,Kolkata,332340,68500,4281,5.93,2.76
Kabir Kapoor,1382571,846064,4.8,330275,Comedy,Education,Jaipur,551870,78231,6156,6.1,2.9
Kabir Sharma,2537827,1262562,1.77,534346,Food,Education,Pune,998023,82359,5634,3.47,2.25
Krishna Singh,1132051,667155,6.34,374289,Parenting,Photography,Mumbai,313927,28763,1634,2.69,3.43
Tanya Singh,2283992,1721665,2.76,1002035,Food,Fitness,Mumbai,782520,106911,6799,4.98,4.29
Riya Mehta,506794,403801,1.26,82499,Fashion,Education,Chandigarh,176662,8735,530,1.83,2.61
Ishaan Verma,568406,276044,6.24,120621,Tech,Finance,Kolkata,153205,28844,656,5.19,5.51
Vivaan Sharma,460903,294728,5.44,160454,Parenting,Beauty,Chandigarh,168135,20464,1372,4.74,3.51
Aditya Gupta,766886,330879,7.96,74396,Beauty,Photography,Delhi,261466,34585,818,4.62,2.16
Krishna Sharma,126629,65709,7.96,36474,Fashion,Tech,Bangalore,36445,4491,229,3.73,2.74
Diya Gupta,2650491,2048405,6.26,1145887,Finance,DIY,Chandigarh,1043865,129480,7023,5.15,2.99
Ishaan Gupta,1740022,794155,6.33,362074,Motivation,Parenting,Delhi,613937,76660,3087,4.58,2.5
Arjun Jain,2767786,1901762,5.51,535552,Motivation,Tech,Chandigarh,1032973,77791,2841,2.91,3.07
Aanya Jain,746932,441470,2.47,202219,Fitness,Health,Jaipur,199677,26732,670,3.67,3.09
Arjun Kapoor,1735991,1160072,2.76,449183,Travel,Gaming,Bangalore,489633,56913,2828,3.44,2.53
Rohan Sharma,1737344,846242,3.91,262835,Fashion,Beauty,Hyderabad,689891,25046,1836,1.55,4.35
Simran Kaur,1067145,828094,5.79,431461,DIY,Comedy,Chandigarh,386686,14919,354,1.43,4.09
Aanya Kapoor,2132730,1680882,0.82,361530,Fitness,Motivation,Bangalore,753215,26752,1939,1.35,2.74
Nikhil Kaur,2118091,1460495,7,802005,Gaming,Finance,Mumbai,819700,40261,933,1.94,2.54
Meera Jain,1844758,1447364,5.07,752000,Motivation,Food,Delhi,520909,29945,1747,1.72,2.62
Sara Mehta,256546,103240,6.33,56443,Finance,Parenting,Kolkata,98392,4676,288,1.93,4.01
Aditya Singh,56061,35307,4.52,12239,Photography,Fitness,Mumbai,21504,1855,50,3.4,2.96
Diya Kapoor,2279151,1162149,2.01,254609,Food,Gaming,Mumbai,583252,69006,5262,3.26,2.81
Kabir Verma,1287600,958615,4.41,500929,Education,Motivation,Delhi,412630,15463,621,1.25,2.14
Sara Kaur,2477906,1963550,0.81,408867,Fashion,Finance,Mumbai,824844,136129,4796,5.69,4.35
Ananya Kapoor,2064696,856803,2.95,421554,Parenting,Health,Kolkata,817840,51779,1303,2.57,2.73
Aditya Mehta,1002954,735188,6.73,180924,Food,Health,Mumbai,286722,48653,2942,5.14,3.29
Sara Verma,2345779,1150645,1.1,414057,Comedy,Parenting,Hyderabad,605773,46548,1374,2.04,2.71
Neha Gupta,967582,701859,0.67,338820,Gaming,Photography,Jaipur,313214,49602,2965,5.43,4.35
Neha Singh,2181469,1201231,3.72,274079,Tech,Parenting,Pune,684307,105919,2979,4.99,4.44
Aarav Jain,1963234,893856,7.98,351033,Finance,DIY,Delhi,725031,52734,1417,2.76,4.87
Vivaan Jain,1351336,1045070,5.7,436876,Food,Photography,Chandigarh,367824,17519,623,1.34,4.18
Dev Kaur,2129128,1575842,5.99,941869,Photography,DIY,Kolkata,579295,112126,3559,5.43,4.5
Aditya Verma,2798971,2159321,0.59,755936,Fashion,Travel,Kolkata,1080254,79801,3572,2.98,3.39
Riya Mehta,877467,598830,1.06,137037,Fashion,Motivation,Chandigarh,268595,16562,743,1.97,3.25
Ananya Jain,1200212,695021,2.55,352711,Photography,Finance,Bangalore,424684,37974,1835,3.32,3.74
Sara Verma,2618119,1275208,2.23,679771,Beauty,Fashion,Chandigarh,867301,121700,6601,4.9,2.54
Kabir Kapoor,1279719,968770,4.4,354145,Travel,DIY,Kolkata,397082,66306,4592,5.54,3.15
Ishaan Singh,1024153,759290,4.52,172947,Fitness,Tech,Chandigarh,390309,56027,4117,5.87,3.91
Kiran Sharma,357068,160518,5.88,34322,Fashion,Comedy,Delhi,131733,9638,498,2.84,5.11
Kiran Gupta,104859,82310,3.85,22744,Education,Health,Delhi,26430,5310,423,5.47,2.31
Simran Jain,856745,455293,5.48,91257,Beauty,Gaming,Kolkata,312028,12179,725,1.51,2.89
Neha Mehta,2249167,1166648,2.61,322671,Motivation,Beauty,Jaipur,568560,41637,2614,1.97,2.5
Meera Kaur,2069568,1228391,2.94,584527,Travel,Beauty,Kolkata,618265,41040,3123,2.13,3.79
Rohan Jain,2889157,2014312,3.22,1127790,Food,Travel,Chandigarh,1020433,70834,1603,2.51,3.5
Aanya Kaur,1145334,534695,6.73,184752,Motivation,Beauty,Hyderabad,311596,58277,3792,5.42,3.46
Aarav Kaur,2983033,2292887,6.83,610652,Food,Motivation,Jaipur,766536,162296,7733,5.7,5.31
Meera Jain,1700211,746981,0.77,312559,Tech,Health,Hyderabad,489208,89395,5432,5.58,3.33
Arjun Sharma,2692976,2120937,5.75,1057356,Beauty,DIY,Chandigarh,881809,60686,3766,2.39,4.03
Simran Singh,1610352,650017,5.66,145033,Education,Fashion,Hyderabad,547699,72831,5675,4.88,4.05
Kiran Kapoor,2104011,1226347,7.51,552331,Gaming,Photography,Delhi,589736,30679,1543,1.53,2.24
Riya Kaur,2168146,1157898,5.33,425717,Fashion,Gaming,Chandigarh,588160,34853,2443,1.72,4.21
Vivaan Jain,2744707,1507871,4.24,555804,Health,Beauty,Mumbai,826872,117167,8636,4.58,3.89
Nikhil Jain,666425,308180,3.47,132261,Tech,Photography,Bangalore,170085,31388,1861,4.99,3.09
Riya Sharma,1012805,545343,5.7,126494,Finance,Photography,Chandigarh,349370,18877,808,1.94,4.43
Arjun Verma,2629056,1159651,7.46,521846,Education,Tech,Hyderabad,748000,63291,4521,2.58,4.11
Arjun Singh,1661861,1195532,2.05,506268,Fashion,Comedy,Chandigarh,435097,49108,2293,3.09,3.14
Ananya Sharma,1282093,857949,0.71,463160,Comedy,Fitness,Pune,365880,56474,1896,4.55,3.38
Aditya Jain,1944948,907327,5.43,241576,Fashion,Photography,Pune,685447,104588,7852,5.78,1.82
Arjun Jain,2956157,1951112,0.84,912957,Tech,Health,Jaipur,750606,35842,2167,1.29,2.06
Aditya Singh,678006,533707,2.32,192478,Finance,Photography,Jaipur,185702,18784,466,2.84,2.86
Ananya Mehta,2559792,1660088,7.92,759445,Gaming,Finance,Delhi,948503,96807,4605,3.96,3.86
Aarav Kapoor,1512528,667598,1.7,260831,Health,Motivation,Mumbai,496616,49341,1672,3.37,2.49
Vivaan Mehta,1448087,834954,6.1,263987,Fitness,Parenting,Mumbai,560483,34735,778,2.45,1.9
Riya Verma,1882301,1415052,6.38,599715,Photography,Fitness,Delhi,551569,99923,2723,5.45,3.38
Vivaan Kapoor,296610,228056,7.98,51048,Travel,Parenting,Jaipur,95547,13647,758,4.86,3.78
Vivaan Verma,1716392,867677,3.06,352614,DIY,Fashion,Hyderabad,556454,49473,1578,2.97,3.86
Kiran Mehta,2111569,1254905,7.3,660041,Finance,Food,Bangalore,835738,81066,6215,4.13,3.12
Meera Sharma,2961550,1931921,2.27,450993,Motivation,Gaming,Kolkata,884065,33479,1384,1.18,2.81
Aarav Kapoor,287798,133638,7.55,27489,Beauty,Gaming,Hyderabad,86002,14716,1135,5.51,2.73
Arjun Mehta,1905271,1135907,6.59,652117,Photography,Education,Chandigarh,750701,78259,3328,4.28,5.48
Nikhil Singh,606314,454884,1.07,231564,Education,Tech,Delhi,226099,10988,523,1.9,2.67
Rohan Mehta,1777205,746139,7.82,407938,Food,Fitness,Bangalore,682001,102785,7124,6.18,3.08
Kabir Kaur,1412783,972885,6.11,472064,Finance,Parenting,Pune,381397,14678,990,1.11,2.57
Aarav Kaur,1570898,897364,2.57,312479,Beauty,Fashion,Chandigarh,409210,47700,1257,3.12,4.1
Dev Kaur,235782,94762,7.85,28655,Finance,Motivation,Chandigarh,78608,12403,832,5.61,5.19
Sara Singh,1053560,472741,0.62,96223,Fashion,Education,Mumbai,368277,62884,2895,6.24,1.94
Rohan Gupta,883615,650729,5.28,226408,Food,Fitness,Kolkata,331040,17398,1380,2.13,2.64
Ishaan Kapoor,517713,367774,3.15,86968,Comedy,Fitness,Delhi,193792,12860,405,2.56,3.4
Ananya Singh,1023238,587928,1.62,165477,Food,Motivation,Mumbai,332673,26349,840,2.66,2.61
Riya Verma,2178405,1508862,4.11,887688,Comedy,Parenting,Jaipur,865094,123375,4361,5.86,2.68
Sara Gupta,1860437,1073244,0.95,458720,Comedy,Gaming,Pune,656501,111396,2974,6.15,2.78
Rohan Singh,453187,294469,4.91,120167,Finance,Health,Kolkata,168792,14148,1045,3.35,3.24
Tanya Sharma,1754749,1388131,6.57,403485,Education,Fitness,Mumbai,565721,47025,1670,2.78,4.11
Nikhil Singh,225979,138546,1.32,47413,Photography,Fashion,Pune,87570,3328,264,1.59,3.41
Simran Verma,2684365,1753903,6.23,418653,Health,Fashion,Hyderabad,792842,90181,1837,3.43,3.96
Neha Kaur,952688,698842,4.42,395076,Finance,Health,Mumbai,353533,12883,646,1.42,3.23
Arjun Sharma,1983720,1262683,5.29,611535,DIY,Education,Hyderabad,498222,118632,5146,6.24,2.2
Arjun Singh,322680,245521,6.82,104714,Travel,Photography,Jaipur,127505,19176,1316,6.35,2.68
Aditya Kaur,1549412,1201164,4.93,436516,Health,Finance,Kolkata,404520,50555,2406,3.42,4.12
Meera Kapoor,492971,285905,2.1,98286,Beauty,Travel,Delhi,160811,24809,1598,5.36,4.78
Ishaan Verma,2697004,1831218,2.93,886919,Health,Fashion,Kolkata,724140,152101,8020,5.94,3.66
Krishna Jain,1737828,1052307,1.14,583730,Education,Photography,Chandigarh,605618,100972,5805,6.14,4.09
Aditya Singh,1776608,892416,5.82,406210,Tech,Beauty,Bangalore,654012,31996,1756,1.9,5.21
Aarav Singh,815110,524924,4.91,313776,Health,Education,Kolkata,320344,10972,382,1.39,2.04
Ananya Verma,2404193,1361801,7.38,422069,Motivation,DIY,Delhi,815682,37089,2082,1.63,3.33
Ishaan Mehta,2055631,1301547,7.13,263677,Photography,Finance,Kolkata,638191,84050,1883,4.18,2.53
Sara Sharma,643671,416840,4.54,247062,Food,Travel,Chandigarh,250011,33788,1729,5.52,2.67
Vivaan Gupta,528794,413139,5.37,90036,Parenting,Fitness,Jaipur,157327,13823,613,2.73,3.18
Vivaan Verma,1115126,876584,6.27,210294,Travel,Tech,Bangalore,398041,31974,2210,3.07,6.35
Neha Singh,1237068,868234,3.09,308690,Fashion,DIY,Chandigarh,309879,35714,752,2.95,2.53
Nikhil Gupta,1557828,950504,4.13,333027,Food,Tech,Chandigarh,487749,27759,1886,1.9,3.46
Arjun Kapoor,424703,214908,0.9,64180,Fashion,Food,Delhi,107311,16096,563,3.92,2.89
Simran Verma,1659840,774718,2.2,320156,DIY,Education,Delhi,508252,49009,2327,3.09,2.09
Ishaan Singh,597218,337468,2.28,196401,Photography,DIY,Pune,220306,11457,795,2.05,2.29
Riya Gupta,612063,282498,6.72,84372,Motivation,Fitness,Delhi,228362,36708,996,6.16,2.95
Neha Sharma,960268,561182,1.64,185168,Health,Finance,Chandigarh,245192,22473,1550,2.5,3.43
Arjun Kapoor,2082740,1286782,0.5,730238,Travel,Health,Mumbai,754585,110081,6372,5.59,3.26
Nikhil Kapoor,2216659,906149,4.28,412826,Comedy,Fitness,Hyderabad,668372,38458,1674,1.81,5.38
Nikhil Kaur,515160,237279,6.73,113719,Travel,Finance,Jaipur,144531,19933,1255,4.11,2.66
Aarav Mehta,1942607,1279384,3.2,679254,Fashion,Travel,Delhi,568405,40368,1646,2.16,3.95
Riya Gupta,1115779,579933,3.42,294162,Motivation,Health,Bangalore,291396,65759,2436,6.11,2.7
Aditya Verma,940710,405500,7.76,196139,Photography,Education,Mumbai,338348,14634,1130,1.68,3.87
Ishaan Kaur,237896,148944,5.39,88663,Motivation,Travel,Hyderabad,78377,12328,804,5.52,3.74
Simran Verma,381980,237087,3.93,136835,Gaming,Food,Bangalore,106735,5010,234,1.37,4.81
Meera Jain,1053970,683433,5.69,354412,Travel,Finance,Delhi,283603,21703,1587,2.21,3.12
Arjun Singh,2845578,1382606,5.05,513909,Health,Tech,Chandigarh,1023319,117053,8146,4.4,2.7
Krishna Verma,579031,288742,1.98,99997,Gaming,Tech,Hyderabad,202653,9100,336,1.63,4.02
Ishaan Singh,2562156,1244320,6.94,651639,DIY,Travel,Mumbai,837561,72275,5721,3.04,2.85
Sara Gupta,2206589,1006803,2.5,600994,Health,Motivation,Hyderabad,752931,123067,9324,6,4.91
Tanya Gupta,1029793,614122,3.78,179941,Motivation,Education,Delhi,339844,47646,1063,4.73,1.92
Aditya Kapoor,2938527,2311982,3.81,906034,Finance,Health,Mumbai,845263,62771,3626,2.26,2.19
Nikhil Sharma,2454132,1596208,4.13,689842,Fashion,Motivation,Mumbai,946949,113383,3174,4.75,2.41
Neha Sharma,659770,343154,3.72,178254,Beauty,Gaming,Jaipur,187354,12503,746,2.01,3.63
Kiran Sharma,733316,499965,0.53,277693,Finance,Comedy,Bangalore,207687,24809,1517,3.59,3.74
Meera Kapoor,62968,47583,1.09,11746,Health,Beauty,Jaipur,22983,2218,101,3.68,3.87
Kabir Kapoor,2482019,1535122,4.77,451495,Finance,Fitness,Chandigarh,870818,25318,1891,1.1,3.4
Kabir Singh,241405,103237,1.24,45922,Gaming,Photography,Delhi,61707,3064,109,1.31,3.05
Aarav Kapoor,1109576,788360,3.79,287314,Food,Travel,Jaipur,376402,45844,1748,4.29,2.11
Tanya Kapoor,1991662,1236589,5.97,729757,Finance,Photography,Kolkata,585011,60429,4105,3.24,1.88
Kabir Gupta,2377215,1692479,7.61,965663,Fitness,Beauty,Chandigarh,805169,30576,831,1.32,2.05
Aditya Kaur,289024,166021,4.37,48120,Motivation,Gaming,Mumbai,89716,5592,170,1.99,2.41
Simran Jain,1168673,542712,2.91,137212,Beauty,Health,Kolkata,331934,37518,1392,3.33,1.96
Sara Sharma,850870,406538,1.89,129617,Food,Motivation,Hyderabad,234019,27677,1141,3.39,5.43
Riya Gupta,2734720,1283959,2.21,387717,Finance,Comedy,Delhi,891763,75809,2439,2.86,4.31
Simran Kaur,717159,432462,1.04,141357,Photography,Finance,Pune,189746,17049,533,2.45,2.76
Rohan Mehta,839237,442872,3.61,166393,Fitness,Fashion,Kolkata,246928,21994,902,2.73,2.57
Arjun Sharma,1568306,1061271,2.42,368103,Beauty,DIY,Kolkata,488396,55357,1621,3.63,3.82
Diya Gupta,2778684,2022741,7.1,533647,Parenting,Food,Kolkata,1009432,157912,5883,5.89,4.44
Sara Verma,2858692,1540486,5.35,851471,Gaming,Fashion,Mumbai,986872,91622,3170,3.32,3.49
Neha Singh,788218,433371,7.21,186769,Travel,DIY,Kolkata,284090,24388,1596,3.3,2.85
Vivaan Kaur,991617,746506,6.93,254800,Photography,DIY,Chandigarh,393027,31073,1445,3.28,2.21
Riya Sharma,110751,49047,6.58,22886,Food,Travel,Hyderabad,38540,5757,231,5.41,4.2
Ananya Jain,1987428,1477971,3.51,448253,Fashion,Education,Chandigarh,742877,71791,3628,3.79,4.21
Nikhil Gupta,2341393,1627636,6.98,803242,Comedy,Fashion,Kolkata,746204,43313,2078,1.94,4.22
Meera Sharma,624683,302647,6.25,158787,Food,Fashion,Delhi,201180,37320,1897,6.28,3.22
Sara Gupta,1542944,1120467,6.74,421350,Travel,Beauty,Chandigarh,461582,73436,5154,5.09,3.31
Aanya Verma,2418098,1059318,3.63,433321,Fashion,Parenting,Mumbai,929685,77207,4937,3.4,4.13
Sara Verma,1904183,792761,6.71,361270,Fashion,Health,Jaipur,520294,21457,997,1.18,3.12
Rohan Mehta,1688277,1344159,5.82,723356,Comedy,DIY,Bangalore,567694,89594,6039,5.66,1.88
Ananya Kapoor,1774965,1264731,4.61,668577,Health,Motivation,Mumbai,534395,53672,2455,3.16,4.5
Kabir Sharma,2362564,1193004,7.93,644227,Tech,Finance,Mumbai,873358,27603,686,1.2,3.84
Krishna Jain,2653667,1303930,6.56,497199,Travel,Beauty,Bangalore,986449,153371,7098,6.05,4.95
Tanya Sharma,2077578,1276083,1.06,300410,Motivation,Fitness,Bangalore,819334,67487,2818,3.38,2.64
Sara Mehta,1240727,517570,7.86,144046,Parenting,Gaming,Jaipur,342205,27452,1382,2.32,2.9
Vivaan Kaur,55113,23163,4.24,12967,Gaming,Motivation,Pune,18544,1749,93,3.34,2.32
Krishna Kaur,2627179,1276897,4.34,585464,Comedy,Motivation,Kolkata,960247,111680,7986,4.55,3.08
Kabir Sharma,419666,304007,5.34,102012,Comedy,Beauty,Chandigarh,138006,7937,365,1.98,1.82
Arjun Jain,1458101,1021160,4.7,432657,Photography,Fashion,Hyderabad,516139,21680,701,1.53,2.6
Riya Kaur,2114245,936403,6.55,547737,Food,Finance,Bangalore,573908,118060,8131,5.97,6.16
Aanya Kapoor,1018014,607283,1.43,203518,Fitness,DIY,Chandigarh,404167,32890,2452,3.47,4.21
Neha Verma,2591987,1486830,2.82,769492,Finance,Photography,Delhi,996093,56591,3781,2.33,4.14
Nikhil Kaur,1494974,1028059,4.95,228783,Fashion,Photography,Jaipur,507635,84607,2672,5.84,1.93
Arjun Mehta,960450,566941,4.46,191024,Fitness,Beauty,Hyderabad,332706,34705,2164,3.84,3.37
Vivaan Kaur,2454896,1945367,6.18,1126010,Comedy,Finance,Kolkata,823927,39842,2959,1.74,3.34
Riya Mehta,567309,257885,6.15,72082,Parenting,Health,Pune,151255,21343,922,3.92,2.43
Ananya Jain,547281,290461,4.29,171870,Tech,Health,Jaipur,140925,7844,302,1.49,3.33
